Designator,Mid X,Mid Y,Rotation,Layer
A1,104.0,-70.11,0.0,top
A2,124.95,-70.11,0.0,top
A3,145.95,-70.11,0.0,top
A4,167.15,-70.11,0.0,top
A5,188.1,-70.11,0.0,top
C1,178.75,-62.61,90.0,top
C10,99.1,-84.36,0.0,top
C11,102.0,-133.25,90.0,top
C12,102.0,-121.75,90.0,top
C13,182.75,-105.25,270.0,top
C14,168.65,-125.9,0.0,top
C2,184.0,-84.36,0.0,top
C3,157.8,-62.65,90.0,top
C4,163.05,-84.36,0.0,top
C5,136.6,-62.61,90.0,top
C6,141.85,-84.36,0.0,top
C7,115.6,-62.61,90.0,top
C8,120.85,-84.36,0.0,top
C9,94.85,-62.61,90.0,top
D1,173.05,-132.1,0.0,top
J1,125.05,-56.0,180.0,top
J10,192.5,-124.0,90.0,top
J11,193.955,-105.77,90.0,top
J12,193.955,-98.18,90.0,top
J13,193.955,-90.59,90.0,top
J2,145.95,-56.0,180.0,top
J3,104.05,-56.0,180.0,top
J4,167.15,-56.1,180.0,top
J5,188.15,-56.1,180.0,top
J6,94.5,-122.75,180.0,top
J7,94.5,-133.75,180.0,top
J8,192.5,-133.5,90.0,top
J9,192.45,-114.5,90.0,top
U1,143.2,-108.50184,90.0,top
